Splitting dataset into train/validation...
Train: 12418, Val: 1380
{'loss': 0.0854, 'grad_norm': 0.2730777859687805, 'learning_rate': 0.00013608070401373686, 'epoch': 0.96}
{'loss': 0.0851, 'grad_norm': 0.2396746724843979, 'learning_rate': 0.00013565142734492383, 'epoch': 0.97}
{'eval_loss': 0.10091904550790787, 'eval_runtime': 141.0986, 'eval_samples_per_second': 9.78, 'eval_steps_per_second': 4.89, 'epoch': 0.97}
{'loss': 0.0729, 'grad_norm': 0.25991711020469666, 'learning_rate': 0.00013522215067611078, 'epoch': 0.97}
{'loss': 0.0976, 'grad_norm': 0.258314847946167, 'learning_rate': 0.00013479287400729772, 'epoch': 0.98}
{'loss': 0.1174, 'grad_norm': 0.30581143498420715, 'learning_rate': 0.00013436359733848467, 'epoch': 0.99}
{'loss': 0.0889, 'grad_norm': 0.224139004945755, 'learning_rate': 0.0001339343206696716, 'epoch': 0.99}
{'loss': 0.0965, 'grad_norm': 0.25752782821655273, 'learning_rate': 0.00013350504400085858, 'epoch': 1.0}
{'loss': 0.0894, 'grad_norm': 0.2949433922767639, 'learning_rate': 0.00013307576733204553, 'epoch': 1.0}
{'loss': 0.0962, 'grad_norm': 0.38840755820274353, 'learning_rate': 0.00013264649066323247, 'epoch': 1.01}
{'loss': 0.0822, 'grad_norm': 0.4405212998390198, 'learning_rate': 0.00013221721399441942, 'epoch': 1.02}
{'loss': 0.0835, 'grad_norm': 0.23365755379199982, 'learning_rate': 0.00013178793732560636, 'epoch': 1.02}
{'loss': 0.0749, 'grad_norm': 0.2643781900405884, 'learning_rate': 0.0001313586606567933, 'epoch': 1.03}
{'eval_loss': 0.10050294548273087, 'eval_runtime': 140.7423, 'eval_samples_per_second': 9.805, 'eval_steps_per_second': 4.903, 'epoch': 1.03}
{'loss': 0.0723, 'grad_norm': 0.4659681022167206, 'learning_rate': 0.00013092938398798028, 'epoch': 1.04}
{'loss': 0.0825, 'grad_norm': 0.24803708493709564, 'learning_rate': 0.00013050010731916723, 'epoch': 1.04}
{'loss': 0.0816, 'grad_norm': 0.23368002474308014, 'learning_rate': 0.00013007083065035417, 'epoch': 1.05}
{'loss': 0.0673, 'grad_norm': 0.23590749502182007, 'learning_rate': 0.00012964155398154112, 'epoch': 1.06}
{'loss': 0.0913, 'grad_norm': 0.2704067528247833, 'learning_rate': 0.00012921227731272806, 'epoch': 1.06}
{'loss': 0.0693, 'grad_norm': 0.2779884338378906, 'learning_rate': 0.00012878300064391503, 'epoch': 1.07}
{'loss': 0.0819, 'grad_norm': 0.26634490489959717, 'learning_rate': 0.00012835372397510198, 'epoch': 1.08}
{'loss': 0.0621, 'grad_norm': 0.24636255204677582, 'learning_rate': 0.00012792444730628892, 'epoch': 1.08}
{'loss': 0.1076, 'grad_norm': 0.25407835841178894, 'learning_rate': 0.00012749517063747587, 'epoch': 1.09}
{'loss': 0.0912, 'grad_norm': 0.2426457554101944, 'learning_rate': 0.0001270658939686628, 'epoch': 1.09}
{'eval_loss': 0.0995311364531517, 'eval_runtime': 140.7873, 'eval_samples_per_second': 9.802, 'eval_steps_per_second': 4.901, 'epoch': 1.09}
{'loss': 0.0792, 'grad_norm': 0.4108426570892334, 'learning_rate': 0.00012663661729984976, 'epoch': 1.1}
{'loss': 0.1261, 'grad_norm': 0.22986379265785217, 'learning_rate': 0.00012620734063103673, 'epoch': 1.11}
{'loss': 0.0945, 'grad_norm': 0.3517839014530182, 'learning_rate': 0.00012577806396222367, 'epoch': 1.11}
{'loss': 0.1061, 'grad_norm': 0.24398230016231537, 'learning_rate': 0.00012534878729341062, 'epoch': 1.12}
{'loss': 0.0996, 'grad_norm': 0.31140562891960144, 'learning_rate': 0.00012491951062459756, 'epoch': 1.13}
{'loss': 0.0826, 'grad_norm': 0.4801134169101715, 'learning_rate': 0.0001244902339557845, 'epoch': 1.13}
{'loss': 0.0804, 'grad_norm': 0.27406013011932373, 'learning_rate': 0.00012406095728697148, 'epoch': 1.14}
{'loss': 0.1042, 'grad_norm': 0.2660973072052002, 'learning_rate': 0.00012363168061815843, 'epoch': 1.15}
{'loss': 0.1002, 'grad_norm': 0.397085577249527, 'learning_rate': 0.00012320240394934537, 'epoch': 1.15}
{'loss': 0.0764, 'grad_norm': 0.21729516983032227, 'learning_rate': 0.00012277312728053232, 'epoch': 1.16}
{'eval_loss': 0.09918323159217834, 'eval_runtime': 140.7656, 'eval_samples_per_second': 9.804, 'eval_steps_per_second': 4.902, 'epoch': 1.16}
{'loss': 0.0854, 'grad_norm': 0.27446702122688293, 'learning_rate': 0.00012234385061171926, 'epoch': 1.17}
{'loss': 0.0809, 'grad_norm': 0.2977466881275177, 'learning_rate': 0.00012191457394290622, 'epoch': 1.17}
{'loss': 0.0972, 'grad_norm': 0.36628225445747375, 'learning_rate': 0.00012148529727409317, 'epoch': 1.18}
{'loss': 0.0923, 'grad_norm': 0.41273173689842224, 'learning_rate': 0.00012105602060528012, 'epoch': 1.18}
{'loss': 0.0953, 'grad_norm': 0.2526537775993347, 'learning_rate': 0.00012062674393646707, 'epoch': 1.19}
{'loss': 0.0972, 'grad_norm': 0.2759210169315338, 'learning_rate': 0.00012019746726765401, 'epoch': 1.2}
{'loss': 0.1277, 'grad_norm': 0.25144776701927185, 'learning_rate': 0.00011976819059884097, 'epoch': 1.2}
{'loss': 0.0819, 'grad_norm': 0.2571922838687897, 'learning_rate': 0.00011933891393002792, 'epoch': 1.21}
{'loss': 0.0798, 'grad_norm': 0.25627022981643677, 'learning_rate': 0.00011890963726121486, 'epoch': 1.22}
{'loss': 0.0928, 'grad_norm': 0.2554374635219574, 'learning_rate': 0.00011848036059240182, 'epoch': 1.22}
{'eval_loss': 0.09790465980768204, 'eval_runtime': 140.8294, 'eval_samples_per_second': 9.799, 'eval_steps_per_second': 4.9, 'epoch': 1.22}
{'loss': 0.0685, 'grad_norm': 0.32384708523750305, 'learning_rate': 0.00011805108392358877, 'epoch': 1.23}
{'loss': 0.1178, 'grad_norm': 0.27489718794822693, 'learning_rate': 0.00011762180725477571, 'epoch': 1.24}
