Splitting dataset into train/validation...
Train: 12418, Val: 1380
Tokenizing datasets...
{'loss': 0.0027, 'grad_norm': 0.0030146585777401924, 'learning_rate': 7.819995081051482e-05, 'epoch': 1.02}
{'loss': 0.001, 'grad_norm': 0.0373641774058342, 'learning_rate': 7.790835286926312e-05, 'epoch': 1.02}
{'loss': 0.0006, 'grad_norm': 0.0011363006196916103, 'learning_rate': 7.761536958534607e-05, 'epoch': 1.03}
{'eval_loss': 0.006870861165225506, 'eval_runtime': 116.3084, 'eval_samples_per_second': 11.865, 'eval_steps_per_second': 5.933, 'epoch': 1.03}
{'loss': 0.0224, 'grad_norm': 0.021045636385679245, 'learning_rate': 7.732101550216029e-05, 'epoch': 1.04}
{'loss': 0.0033, 'grad_norm': 1.5653040409088135, 'learning_rate': 7.702530523114742e-05, 'epoch': 1.04}
{'loss': 0.0063, 'grad_norm': 0.9354783296585083, 'learning_rate': 7.672825345106893e-05, 'epoch': 1.05}
{'loss': 0.0014, 'grad_norm': 0.021051373332738876, 'learning_rate': 7.642987490727748e-05, 'epoch': 1.06}
{'loss': 0.002, 'grad_norm': 0.04686557129025459, 'learning_rate': 7.613018441098494e-05, 'epoch': 1.06}
{'loss': 0.0011, 'grad_norm': 0.16832464933395386, 'learning_rate': 7.582919683852719e-05, 'epoch': 1.07}
{'loss': 0.0008, 'grad_norm': 0.5489249229431152, 'learning_rate': 7.552692713062562e-05, 'epoch': 1.08}
{'loss': 0.0008, 'grad_norm': 0.001134710037149489, 'learning_rate': 7.522339029164562e-05, 'epoch': 1.08}
{'loss': 0.0007, 'grad_norm': 0.007240592502057552, 'learning_rate': 7.491860138885164e-05, 'epoch': 1.09}
{'loss': 0.0031, 'grad_norm': 0.0022047809325158596, 'learning_rate': 7.461257555165935e-05, 'epoch': 1.09}
{'eval_loss': 0.006820167414844036, 'eval_runtime': 117.4377, 'eval_samples_per_second': 11.751, 'eval_steps_per_second': 5.875, 'epoch': 1.09}
{'loss': 0.0003, 'grad_norm': 0.004541042726486921, 'learning_rate': 7.430532797088458e-05, 'epoch': 1.1}
{'loss': 0.0114, 'grad_norm': 0.004107044078409672, 'learning_rate': 7.399687389798933e-05, 'epoch': 1.11}
{'loss': 0.0031, 'grad_norm': 0.009071816690266132, 'learning_rate': 7.368722864432458e-05, 'epoch': 1.11}
{'loss': 0.0038, 'grad_norm': 0.09127500653266907, 'learning_rate': 7.337640758037045e-05, 'epoch': 1.12}
{'loss': 0.0122, 'grad_norm': 0.001263252692297101, 'learning_rate': 7.306442613497297e-05, 'epoch': 1.13}
{'loss': 0.0003, 'grad_norm': 0.0002964765590149909, 'learning_rate': 7.275129979457845e-05, 'epoch': 1.13}
{'loss': 0.0046, 'grad_norm': 0.41174060106277466, 'learning_rate': 7.243704410246458e-05, 'epoch': 1.14}
{'loss': 0.0002, 'grad_norm': 0.0027740835212171078, 'learning_rate': 7.212167465796895e-05, 'epoch': 1.15}
{'loss': 0.0013, 'grad_norm': 0.0004397405427880585, 'learning_rate': 7.180520711571471e-05, 'epoch': 1.15}
{'loss': 0.0013, 'grad_norm': 0.0016692794160917401, 'learning_rate': 7.148765718483349e-05, 'epoch': 1.16}
{'eval_loss': 0.007356506772339344, 'eval_runtime': 118.9539, 'eval_samples_per_second': 11.601, 'eval_steps_per_second': 5.801, 'epoch': 1.16}
{'loss': 0.0, 'grad_norm': 0.004562185611575842, 'learning_rate': 7.116904062818557e-05, 'epoch': 1.17}
{'loss': 0.0002, 'grad_norm': 0.10247034579515457, 'learning_rate': 7.084937326157752e-05, 'epoch': 1.17}
{'loss': 0.0004, 'grad_norm': 0.000672823516651988, 'learning_rate': 7.052867095297699e-05, 'epoch': 1.18}
{'loss': 0.007, 'grad_norm': 0.0024629258550703526, 'learning_rate': 7.020694962172522e-05, 'epoch': 1.18}
{'loss': 0.0034, 'grad_norm': 0.0002454520436003804, 'learning_rate': 6.988422523774658e-05, 'epoch': 1.19}
{'loss': 0.0491, 'grad_norm': 0.044099606573581696, 'learning_rate': 6.956051382075608e-05, 'epoch': 1.2}
{'loss': 0.0136, 'grad_norm': 1.407681941986084, 'learning_rate': 6.9235831439464e-05, 'epoch': 1.2}
{'loss': 0.0022, 'grad_norm': 0.338203489780426, 'learning_rate': 6.891019421077836e-05, 'epoch': 1.21}
{'loss': 0.0009, 'grad_norm': 0.44360294938087463, 'learning_rate': 6.858361829900481e-05, 'epoch': 1.22}
{'loss': 0.0051, 'grad_norm': 0.016878139227628708, 'learning_rate': 6.82561199150443e-05, 'epoch': 1.22}
{'eval_loss': 0.006979696452617645, 'eval_runtime': 97.6085, 'eval_samples_per_second': 14.138, 'eval_steps_per_second': 7.069, 'epoch': 1.22}
{'loss': 0.0089, 'grad_norm': 0.004141735844314098, 'learning_rate': 6.792771531558837e-05, 'epoch': 1.23}
{'loss': 0.0002, 'grad_norm': 0.1348903924226761, 'learning_rate': 6.75984208023122e-05, 'epoch': 1.24}
{'loss': 0.0317, 'grad_norm': 0.5828744173049927, 'learning_rate': 6.726825272106538e-05, 'epoch': 1.24}
